p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
2559,1675,0,1321,1597,1312,282,397,629,551,326,829,1
2559,1686,0,1265,1601,1315,302,397,628,551,317,819,1
2574,1739,0,1350,1595,1319,287,399,623,553,340,835,1
2545,1760,18,1295,1593,1314,292,397,634,551,337,838,1
2544,1727,97,1262,1593,1310,276,410,614,554,336,844,1
2527,1721,137,1157,1595,1307,289,391,605,554,326,837,1
2545,1750,197,1239,1603,1316,294,388,603,551,322,834,1
2549,1774,209,1259,1603,1318,292,390,604,550,324,838,1
2539,1776,252,1281,1604,1318,293,391,610,549,328,845,1
2544,1808,261,1281,1608,1320,294,391,613,553,328,844,1
2541,1835,295,1296,1603,1321,295,391,613,548,325,848,1
2544,1837,278,1232,1608,1318,297,389,610,542,330,844,1
2531,1808,272,1274,1607,1321,296,390,624,548,325,845,1
2525,1808,283,1265,1606,1320,296,391,619,551,324,848,1
2541,1836,320,1294,1607,1322,296,389,613,551,327,851,1
2551,1859,336,1273,1618,1331,297,389,618,550,332,851,1
2545,1866,321,1264,1614,1331,297,391,622,544,324,851,1
2557,1905,297,1119,1614,1319,300,389,627,547,292,828,1
2570,1947,330,870,1614,1325,300,390,606,549,307,819,1
2535,1924,386,1131,1609,1332,298,389,596,544,319,824,1
2544,1936,418,1131,1609,1333,297,392,605,545,318,825,1
2513,1924,414,1135,1601,1330,299,392,608,542,312,827,1
2528,1923,387,1148,1605,1335,297,392,610,543,315,829,1
2542,1937,371,1123,1607,1338,296,391,608,538,318,831,1
2533,1925,395,1152,1606,1337,296,391,622,541,321,831,1
2531,1935,435,1187,1608,1336,297,392,625,539,322,833,1
2545,1959,446,1075,1603,1341,303,393,627,544,323,838,1
2518,1929,434,1130,1598,1337,305,390,631,538,322,837,1
2529,1920,426,1193,1604,1340,307,393,637,541,327,840,1
2518,1904,403,1226,1601,1338,306,392,635,546,334,835,1
2514,1903,411,1219,1602,1341,306,393,633,551,338,841,1
2526,1926,384,1178,1602,1342,306,392,637,545,335,837,1
2532,1939,423,1137,1603,1342,307,393,630,544,338,840,1
2549,1969,437,1090,1606,1345,309,393,629,544,339,842,1
2550,1965,430,1019,1608,1348,310,393,638,548,340,842,1
2558,1872,410,1187,1599,1353,312,417,641,542,309,833,1
2541,1872,381,1168,1596,1345,311,399,645,543,319,848,1
2533,1871,383,1217,1603,1351,312,403,653,544,328,858,1
2531,1895,431,1242,1599,1347,314,403,650,538,334,860,1
2543,1922,476,1203,1601,1347,312,401,650,539,338,864,1
2554,1934,437,1139,1601,1350,313,401,654,540,337,862,1
2529,1891,417,1229,1597,1347,313,402,647,543,341,862,1
2553,1461,161,1328,1567,1347,310,422,646,565,320,860,1
2573,1552,338,1187,1605,1342,357,406,674,561,313,861,1
2534,1634,467,1306,1610,1341,344,408,671,555,315,875,1
2544,1572,473,1072,1610,1342,333,425,676,566,279,879,1
2519,1678,387,975,1608,1345,332,409,644,558,308,877,1
2530,1698,400,1266,1605,1325,329,403,639,549,322,864,1
2533,1735,426,1260,1608,1331,329,403,625,547,334,871,1
2519,1747,426,1267,1616,1337,327,402,645,538,339,874,1
2547,1763,460,1200,1618,1339,331,404,648,534,325,869,1
2545,1790,543,1249,1617,1342,331,404,654,540,326,872,1
2544,1797,475,1216,1621,1343,331,404,657,540,332,880,1
2532,1776,465,1283,1622,1342,329,400,661,545,335,877,1
2527,1774,477,1294,1620,1342,328,400,654,546,336,879,1
2523,1759,464,1297,1616,1342,326,399,655,548,338,880,1
2557,1732,263,989,1611,1340,327,420,639,570,312,883,1
2591,1733,382,951,1628,1338,343,404,669,565,305,874,1
2583,1712,159,993,1634,1350,346,408,669,564,312,867,1
2525,1760,305,1037,1628,1347,345,409,654,565,290,877,1
2515,1760,553,1143,1631,1330,350,402,642,554,329,838,1
2499,1787,594,1225,1627,1338,348,401,620,552,339,847,1
2509,1830,609,1289,1632,1338,350,399,628,551,357,851,1
2493,1838,606,1254,1630,1337,350,397,631,547,356,853,1
2489,1809,607,1274,1626,1337,349,397,641,549,363,855,1
2448,1809,751,1192,1627,1331,343,388,610,546,373,855,1
2462,1808,719,1215,1628,1325,342,389,613,536,377,855,1
2465,1813,773,1280,1633,1328,344,392,609,533,380,857,1
2482,1839,781,1294,1634,1330,344,391,616,530,378,858,1
2480,1841,788,1349,1635,1334,343,391,629,525,382,864,1
2479,1840,752,1309,1632,1332,343,391,636,526,382,857,1
2486,1829,763,1345,1636,1335,344,393,642,528,386,860,1
2463,1807,762,1335,1632,1331,345,395,643,526,389,864,1
2474,1815,758,1299,1632,1330,343,393,648,526,390,865,1
2474,1840,795,1347,1632,1329,344,394,655,523,389,864,1
2482,1846,784,1329,1632,1333,344,394,657,524,390,864,1
2495,1861,779,1370,1635,1336,346,394,656,524,388,861,1
2485,1840,775,1365,1636,1335,347,395,669,527,387,864,1
2485,1851,784,1309,1638,1338,346,396,671,527,389,866,1
2480,1831,786,1323,1633,1337,346,396,674,524,388,860,1
2431,1787,719,1005,1649,1345,385,397,700,532,320,868,1
2470,1764,374,756,1647,1356,387,401,708,516,342,842,1
2449,1791,421,859,1655,1358,362,399,690,521,357,844,1
2463,1812,482,1072,1650,1355,351,399,677,522,362,849,1
2474,1808,443,1104,1651,1360,354,399,684,525,368,855,1
2511,1734,529,1217,1616,1364,314,414,604,536,363,836,1
2533,1725,133,939,1597,1352,310,402,565,541,287,817,1
2514,1728,430,1158,1588,1341,302,401,592,545,314,811,1
2531,1631,339,1162,1603,1333,310,366,616,527,344,804,1
2505,1681,419,1248,1597,1317,310,369,628,514,348,814,1
2538,1699,307,1302,1599,1328,309,372,635,508,356,815,1
