p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
2774,2832,0,0,989,1023,392,4025,805,412,359,633,2
2775,2833,0,0,990,1021,391,4026,797,412,355,630,2
2782,2851,0,0,995,1022,393,4026,803,407,357,632,2
2790,2849,0,0,995,1025,395,4036,809,408,357,637,2
2798,2870,0,0,1000,1024,393,4025,806,414,362,637,2
2800,2875,0,0,1001,1027,394,4034,807,418,365,631,2
2786,2848,0,0,996,1027,391,4036,811,417,370,639,2
2779,2843,0,0,995,1023,393,4035,807,415,368,640,2
2794,2859,0,0,1001,1027,392,4036,805,421,370,649,2
2778,2840,0,0,996,1021,392,4025,802,417,368,641,2
2800,2881,0,0,1009,1030,394,4036,811,417,373,654,2
2784,2861,0,0,1002,1029,394,4026,804,419,370,652,2
2801,2874,0,0,1009,1034,395,4035,809,410,395,661,2
2785,2864,0,0,1006,1029,394,4026,812,415,393,654,2
2781,2850,0,0,999,1029,395,4025,804,406,383,661,2
2799,2864,0,0,1009,1035,394,4027,805,408,381,655,2
2786,2851,0,0,1001,1029,394,4025,809,406,397,658,2
2793,2864,0,0,1002,1032,395,4035,813,413,385,664,2
2785,2859,0,0,1004,1031,394,4025,809,415,397,656,2
2801,2874,0,0,1013,1036,396,4035,812,413,396,664,2
2779,2846,0,0,1004,1027,394,4025,816,411,396,661,2
2799,2861,0,0,1008,1032,395,4035,816,416,399,663,2
2800,2867,0,0,1008,1030,394,4035,813,415,397,659,2
2780,2846,0,0,1006,1028,394,4035,815,420,399,662,2
2801,2875,0,0,1008,1030,397,4035,819,415,400,658,2
2804,2880,0,0,1016,1030,397,4035,816,418,395,656,2
2805,2893,0,0,1013,1037,394,4035,821,411,383,657,2
2797,2867,0,0,1013,1029,394,4025,817,412,392,661,2
2789,2864,0,0,1012,1035,395,4025,812,404,359,662,2
2791,2866,0,0,1011,1034,395,4025,815,404,378,660,2
2783,2857,0,0,1005,1034,397,4034,819,411,366,663,2
2789,2861,0,0,1011,1034,396,4024,818,404,361,662,2
2795,2882,0,0,1016,1037,396,4025,826,412,371,658,2
2800,2874,0,0,1011,1042,397,4035,820,415,368,667,2
2789,2855,0,0,1010,1039,395,4025,821,408,371,660,2
2788,2870,0,0,1015,1038,395,4023,825,407,366,664,2
2786,2853,0,0,1006,1032,395,4024,825,408,370,661,2
2793,2864,0,0,1011,1038,394,4035,824,408,371,662,2
2806,2893,0,0,1021,1040,396,4025,832,399,374,656,2
2801,2881,0,0,1014,1038,397,4035,837,405,375,656,2
2800,2864,0,0,1013,1034,396,4035,835,408,382,655,2
2791,2862,0,0,1010,1029,397,4034,833,398,380,659,2
2800,2864,0,0,1012,1032,396,4035,839,414,382,661,2
2782,2854,0,0,1008,1028,395,4025,832,408,378,665,2
2805,2891,0,0,1019,1041,396,4035,839,415,381,658,2
2794,2869,0,0,1011,1036,395,4025,835,412,384,655,2
2799,2867,0,0,1011,1033,396,4035,839,415,379,661,2
2787,2854,0,0,1010,1040,395,4026,836,405,376,656,2
2791,2864,0,0,1012,1032,395,4025,848,408,377,653,2
2796,2866,0,0,1013,1032,395,4025,842,412,380,651,2
2790,2861,0,0,1013,1032,394,4025,842,405,378,652,2
2807,2896,0,0,1024,1037,397,4035,844,410,380,652,2
2781,2855,0,0,1012,1028,395,4025,848,410,383,654,2
2798,2868,0,0,1016,1034,395,4035,849,409,386,662,2
2795,2885,0,0,1022,1036,396,4025,853,413,368,655,2
2802,2880,0,0,1020,1037,397,4035,855,417,376,654,2
2795,2864,0,0,1017,1035,397,4035,858,415,368,655,2
2795,2864,0,0,1017,1036,397,4034,863,415,365,661,2
2789,2861,0,0,1017,1035,397,4034,863,409,372,659,2
2783,2858,0,0,1013,1032,395,4025,861,411,371,660,2
2797,2885,0,0,1023,1038,394,4024,859,420,354,646,2
2798,2881,0,0,1023,1038,395,4025,859,408,373,659,2
2800,2870,0,0,1017,1036,397,4035,861,424,358,665,2
2793,2863,0,0,1015,1033,395,4024,860,420,352,654,2
2799,2883,0,0,1023,1036,396,4023,867,424,354,655,2
2796,2873,0,0,1013,1030,395,4021,860,422,365,660,2
2793,2864,0,0,1019,1038,396,4023,861,417,356,654,2
2806,2892,0,0,1026,1043,398,4034,863,418,346,651,2
2775,2844,0,0,1013,1048,394,4024,860,417,363,664,2
2800,2876,0,0,1018,1043,396,4035,865,423,358,662,2
2605,2585,393,493,1032,998,388,4025,865,415,320,458,2
2672,2693,0,0,1021,1003,392,4024,870,420,320,600,2
2365,1610,186,252,1062,899,386,4028,459,294,1,686,2
2399,2017,137,144,1042,779,380,4038,415,298,24,261,2
2387,2361,268,467,716,688,363,4041,820,244,407,736,1
2151,2247,351,706,928,578,394,4040,621,247,112,739,1
2624,2453,562,787,859,1029,378,4040,725,256,475,761,1
2581,2388,710,909,800,960,329,4030,720,231,475,727,1
2579,2421,687,186,922,1045,364,4025,568,294,129,807,1
2555,2385,931,1042,893,1018,369,4026,779,281,436,798,1
2623,2449,544,364,934,996,384,4036,746,324,401,877,1
2590,2426,655,293,918,997,372,4026,715,319,367,848,1
2622,2455,575,428,951,1009,392,4031,780,332,431,891,1
2625,2451,580,432,944,1014,384,4026,763,326,417,881,1
2633,2477,546,383,955,1013,394,4025,801,338,444,902,1
2640,2480,549,438,957,1024,395,4036,796,337,439,894,1
2655,2519,478,250,972,1024,396,4026,821,344,456,915,1
2653,2496,555,364,970,1017,396,4037,812,341,453,906,1
2675,2530,149,29,982,1021,398,4036,835,353,467,930,1
2659,2521,236,222,979,1020,395,4027,823,348,459,932,1
2669,2546,171,387,977,992,404,4036,858,357,477,934,1
2672,2544,343,328,984,986,403,4028,845,353,471,924,1
2687,2587,80,272,982,1005,405,4027,862,359,479,939,1
2688,2581,47,411,981,1009,405,4038,864,359,475,934,1
2690,2597,80,198,977,1001,407,4027,868,363,481,943,1
2690,2606,112,131,983,1016,407,4025,867,360,473,940,1
2692,2595,82,247,974,996,406,4027,875,364,485,950,1
2703,2597,83,195,971,1000,408,4037,873,367,484,949,1
2717,2629,84,111,981,1005,409,4028,883,368,491,959,1
2704,2615,92,233,974,996,408,4037,882,369,492,964,1
2721,2640,50,55,977,1030,411,4037,891,375,493,965,1
2706,2633,80,42,978,1014,408,4036,891,371,493,964,1
2714,2631,38,0,980,1018,413,4037,894,374,498,980,1
2704,2623,45,84,973,1007,411,4027,892,368,500,977,1
2714,2645,18,0,978,1022,412,4027,895,378,506,967,1
2704,2630,0,0,985,1025,411,4026,891,371,500,963,1
2736,2664,0,0,976,1037,414,4036,903,379,510,972,1
2714,2651,0,0,975,1035,412,4026,899,376,503,966,1
2710,2640,0,0,974,1035,413,4025,905,379,508,971,1
2736,2659,0,0,977,1038,413,4029,901,379,510,973,1
2736,2662,0,0,976,1022,414,4037,913,381,510,979,1
2719,2646,0,0,972,1034,412,4025,906,382,511,981,1
2746,2683,0,0,980,1034,416,4037,922,387,504,991,1
2727,2663,0,0,977,1020,413,4026,914,382,507,978,1
2738,2672,0,0,980,1036,416,4036,916,386,511,988,1
2731,2665,0,0,974,1033,413,4027,913,384,503,982,1
2736,2670,0,0,970,1023,416,4036,922,386,514,990,1
2738,2672,0,0,976,1023,414,4027,919,381,507,989,1
2747,2678,0,0,971,1036,416,4026,929,389,492,999,1
2743,2679,0,0,972,1028,417,4037,927,388,506,993,1
2741,2674,0,0,973,1034,416,4027,929,391,491,989,1
2761,2694,0,0,977,1041,417,4037,930,393,497,992,1
2741,2678,0,0,969,1041,416,4027,929,393,484,991,1
2750,2686,0,0,976,1045,416,4037,934,394,480,1003,1
2768,2703,0,0,977,1059,416,4027,934,397,409,998,1
2759,2692,0,0,973,1042,416,4036,933,396,415,997,1
2766,2700,0,0,974,1063,420,4037,940,399,427,997,1
2752,2692,0,0,976,1060,418,4026,938,397,421,1001,1
2763,2698,0,0,976,1058,421,4037,946,404,444,1006,1
2751,2685,0,0,973,1061,419,4027,939,400,441,1001,1
2769,2709,0,0,986,1079,421,4037,949,406,447,1009,1
2752,2687,0,0,977,1070,419,4027,944,402,438,1002,1
2757,2693,0,0,987,1083,421,4037,955,406,436,1009,1
2758,2702,0,0,990,1081,420,4027,949,405,434,1005,1
2755,2693,0,0,984,1078,420,4027,953,405,454,1008,1
2769,2704,0,0,989,1082,421,4037,949,404,447,1005,1
2768,2705,0,0,988,1083,419,4027,952,404,448,1005,1
2736,2704,0,0,988,1076,421,4037,953,409,453,1009,1
2764,2704,0,0,987,1077,420,4026,951,407,444,1009,1
2782,2723,0,0,989,1081,421,4037,961,408,438,1009,1
2757,2701,0,0,987,1081,419,4032,954,409,453,1015,1
2771,2715,0,0,989,1081,421,4037,956,410,456,1014,1
2782,2727,0,0,987,1087,421,4038,962,411,451,1019,1
2771,2716,0,0,987,1079,422,4038,954,409,456,1018,1
2778,2729,0,0,986,1101,421,4039,960,413,462,1022,1
2785,2734,0,0,987,1100,422,4039,964,413,453,1018,1
2774,2725,0,0,988,1090,420,4039,964,413,444,1023,1
2768,2725,0,0,985,1096,421,4039,962,413,448,1023,1
2788,2736,0,0,992,1101,421,4039,967,414,445,1025,1
2768,2710,0,0,990,1096,421,4039,964,412,455,1025,1
2788,2735,0,0,987,1137,422,4039,963,417,453,1024,1
2789,2741,0,0,989,1129,421,4033,970,416,448,1025,1
2784,2727,0,0,985,1133,421,4039,973,417,448,1020,1
2784,2729,0,0,990,1132,422,4039,968,418,456,1019,1
2795,2746,0,0,998,1139,423,4038,975,418,444,1017,1
2770,2723,0,0,987,1121,421,4029,970,418,447,1016,1
2783,2734,0,0,986,1136,422,4039,973,420,446,1021,1
2790,2744,0,0,989,1139,422,4039,973,418,439,1018,1
2789,2737,0,0,1011,1140,424,4039,974,417,445,1020,1
2780,2717,0,0,994,1133,421,4039,975,415,439,1020,1
2789,2747,0,0,1016,1140,423,4040,980,420,446,1023,1
2797,2742,0,0,1021,1141,423,4039,976,418,446,1026,1
2786,2736,0,0,1013,1131,423,4039,980,420,456,1028,1
2773,2721,0,0,1010,1133,422,4029,974,417,441,1023,1
2800,2752,0,0,1023,1137,423,4039,986,419,446,1028,1
2793,2739,0,0,1014,1130,423,4039,979,419,455,1027,1
2791,2737,0,0,1016,1134,424,4030,983,419,471,1024,1
2799,2752,0,0,1017,1138,426,4039,983,421,459,1027,1
2791,2737,0,0,1015,1132,424,4028,984,422,469,1020,1
2792,2736,0,0,1013,1131,424,4040,986,421,465,1027,1
