index,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11
1689872925852,2439,0,0,0,1247,1675,169,368,1019,218,1437,0
1689872926352,2417,0,0,0,1247,1676,169,371,1018,211,1445,0
1689872926852,2479,165,0,0,1274,1685,169,369,1019,209,1431,0
1689872927352,2477,264,0,0,1268,1686,171,371,1020,203,1434,0
1689872927852,2471,0,0,0,1257,1687,171,372,1019,196,1437,0
1689872928352,2465,0,0,0,1255,1687,171,370,1023,189,1442,0
1689872928852,2452,0,0,0,1261,1688,171,370,1023,177,1443,0
1689872929352,2461,6,0,0,1263,1690,170,371,1031,164,1442,0
1689872929852,2473,286,0,0,1264,1688,170,372,1033,156,1446,0
1689872935352,2491,314,0,0,1279,1701,171,372,1044,0,1437,0
1689872935852,2483,3,0,0,1264,1704,170,373,1043,0,1440,0
1689872936352,2463,0,0,0,1253,1704,171,374,1048,0,1449,0
1689872936852,2461,0,0,0,1259,1703,172,371,1049,0,1443,0
1689872937352,2477,41,0,0,1262,1707,173,373,1051,0,1447,0
1689872937852,2475,304,0,0,1247,1708,173,373,1050,0,1445,0
1689872938352,2462,67,0,0,1238,1703,172,382,1056,0,1450,0
1689872938852,2465,0,0,0,1246,1701,172,380,1054,0,1445,0
1689872939352,2463,0,0,0,1244,1701,173,380,1052,0,1445,0
1689872939853,2458,0,0,0,1250,1707,172,382,1054,0,1444,0
1689872940353,2493,217,0,0,1260,1710,172,382,1056,0,1442,0
1689872940853,2493,309,0,0,1246,1706,174,382,1056,0,1438,0
1689872941353,2475,0,0,0,1250,1710,168,382,1059,0,1444,0
1689872941853,2468,0,0,0,1247,1707,172,381,1060,0,1453,0
1689872942353,2445,0,0,0,1248,1702,174,380,1060,0,1442,0
1689872942853,2464,206,0,0,1255,1706,168,380,1061,0,1444,0
1689872943353,2474,346,0,0,1259,1706,168,382,1060,0,1450,0
1689872943853,2479,0,0,0,1258,1708,169,381,1059,5,1440,0
1689872944353,2471,0,0,0,1259,1711,174,381,1059,38,1437,0
1689872944853,2458,0,0,0,1255,1713,175,383,1062,31,1440,0
1689872945353,2455,0,0,0,1237,1715,164,377,1064,57,1449,0
1689872945853,2481,193,0,0,1261,1719,169,374,1064,85,1443,0
1689872946353,2480,329,0,0,1249,1718,169,376,1065,110,1445,0
1689872946853,2473,0,0,0,1231,1714,169,381,1066,128,1448,0
1689872947353,2459,0,0,0,1229,1715,168,379,1067,164,1449,0
1689872947853,2467,0,0,0,1233,1713,163,375,1063,166,1444,0
1689872948353,2474,0,0,0,1242,1722,169,377,1066,201,1442,0
1689872948853,2502,208,0,0,1260,1723,168,371,1068,232,1443,0
1689872949353,2497,0,0,0,1259,1728,188,390,1075,276,1448,0
1689872949853,2492,12,0,0,1205,1704,196,391,991,303,1407,0
1689872950353,2304,0,0,0,1098,1698,286,336,699,286,1369,0
1689872950853,2513,0,0,0,671,1776,373,282,929,296,1339,0
1689872951353,2426,180,0,0,1205,1530,215,348,517,384,1108,0
1689872951853,2397,281,0,0,1090,1241,176,367,723,404,1258,0
1689872952353,2321,87,0,0,1006,1266,165,323,698,412,1251,0
1689872952853,2394,307,0,0,1033,1349,156,303,670,440,1303,0
1689872953353,2416,144,0,0,1040,1385,137,323,705,455,1318,0
1689872953853,2461,402,0,0,1065,1404,140,323,722,468,1320,0
1689872954353,2461,320,0,0,1078,1417,160,313,729,478,1333,0
1689872954853,2433,135,0,0,1069,1435,164,338,755,491,1342,0
1689872955353,2441,48,0,0,1058,1445,162,340,783,491,1350,0
1689872955853,2450,107,0,0,1063,1456,165,342,786,489,1361,0
1689872956353,2483,251,0,0,1087,1459,166,341,800,502,1351,0
1689872956853,2576,417,0,0,1119,1436,165,319,804,511,1325,0
1689872957353,2687,585,0,113,1176,1409,167,305,813,516,1318,0
1689872957853,2778,784,0,244,1176,1380,167,306,819,544,1311,0
1689872958353,2738,493,0,0,1109,1375,163,292,817,556,1326,0
1689872958853,2675,874,0,0,1119,1363,165,298,825,579,1340,0
1689872959353,2613,839,0,0,1101,1374,168,299,837,589,1338,0
1689872959853,2624,832,0,0,1104,1383,166,307,843,601,1340,0
1689872960353,2619,737,0,0,1100,1397,164,306,838,625,1340,0
1689872960853,2623,646,0,0,1098,1401,161,307,839,648,1353,0
1689872961353,2605,762,0,0,1113,1411,154,307,833,666,1347,0
1689872961853,2607,797,0,0,1112,1413,160,309,831,694,1350,0
1689872962353,2624,830,0,0,1114,1423,160,311,835,705,1348,0
1689872962853,2617,793,0,0,1116,1436,164,310,848,724,1369,0
1689872963353,2607,751,0,0,1116,1432,162,312,843,739,1368,0
1689872963853,2615,721,0,0,1120,1442,151,311,851,765,1360,0
1689872964353,2639,784,0,0,1111,1447,150,311,848,784,1358,0
1689872964853,2624,703,0,0,1098,1451,131,311,827,816,1362,0
1689872965353,2629,740,0,0,1100,1456,140,307,843,837,1369,0
1689872965853,2636,723,0,0,1113,1456,148,310,841,856,1367,0
1689872966353,2639,786,0,0,1122,1463,146,312,855,875,1366,0
1689872966853,2631,763,0,0,1126,1467,146,313,860,886,1373,0
1689872967353,2641,819,0,0,1122,1471,149,314,865,888,1374,0
1689872967853,2630,846,0,0,1069,1473,150,313,867,882,1388,0
1689872968353,2608,719,0,0,1140,1471,150,310,871,871,1387,0
1689872968853,2615,755,0,0,1145,1476,149,313,876,859,1385,0
1689872969353,2629,764,0,0,1148,1479,150,312,878,850,1386,0
1689872969853,2640,708,0,0,1155,1488,148,315,881,818,1390,0
1689872970353,2614,691,0,0,1169,1490,150,313,889,777,1387,0
1689872970853,2633,797,0,0,1183,1492,151,316,898,757,1385,0
1689872971353,2609,634,0,0,1170,1493,151,315,895,721,1388,0
1689872971853,2615,523,0,0,1172,1495,155,312,902,699,1396,0
1689872972353,2608,522,0,0,1170,1494,156,314,898,667,1398,0
1689872972853,2621,565,0,0,1176,1495,154,313,898,627,1396,0
1689872973353,2640,713,0,0,1190,1498,172,312,899,585,1388,0
1689872973853,2640,661,0,0,1182,1499,172,310,894,560,1393,0
1689872974353,2638,567,0,0,1183,1503,174,311,905,527,1403,0
1689872974853,2651,626,0,0,1183,1505,176,313,910,506,1396,0
1689872975353,2640,624,0,0,1185,1508,176,312,909,456,1403,0
1689872975853,2623,534,0,0,1179,1505,173,307,911,442,1412,0
1689872976353,2639,719,0,0,1191,1513,176,313,919,438,1409,0
1689872976853,2641,702,0,0,1185,1514,176,313,916,400,1408,0
1689872977353,2614,495,0,0,1177,1514,175,310,916,390,1414,0
1689872977853,2642,567,0,0,1189,1516,176,312,921,370,1403,0
1689872978353,2627,542,0,0,1183,1517,176,311,923,314,1407,0
1689872978853,2645,630,0,0,1195,1527,177,312,928,326,1411,0
1689872979353,2654,724,0,0,1202,1526,177,315,932,302,1405,0
1689872979853,2634,496,0,0,1193,1525,176,313,935,280,1411,0
1689872980353,2627,445,0,0,1185,1522,176,312,936,281,1408,0
1689872980853,2619,434,0,0,1185,1524,177,313,943,293,1420,0
1689872981353,2640,592,0,0,1197,1526,176,314,944,248,1417,0
1689872981853,2645,766,0,0,1206,1526,176,313,953,261,1412,0
1689872982353,2654,499,0,0,1199,1535,176,313,952,237,1414,0
1689872982853,2631,477,0,0,1188,1536,179,313,955,247,1414,0
1689872983353,2630,558,0,0,1192,1540,180,316,964,237,1411,0
1689872983853,2638,545,0,0,1194,1545,180,316,960,231,1416,0
1689872984353,2631,783,0,0,1202,1546,180,314,958,212,1411,0
1689872984853,2631,625,0,0,1204,1553,178,313,966,227,1422,0
1689872985353,2624,578,0,0,1195,1550,178,316,965,212,1419,0
1689872985853,2619,487,0,0,1192,1550,178,314,970,226,1423,0
1689872986353,2631,498,0,0,1195,1555,179,314,965,219,1424,0
1689872986853,2640,784,0,0,1211,1562,178,316,975,218,1421,0
1689872987353,2646,720,0,0,1210,1561,178,318,978,207,1415,0
1689872987853,2639,497,0,0,1200,1561,178,317,981,225,1414,0
1689872988353,2624,437,0,0,1200,1563,178,316,986,222,1430,0
1689872988853,2609,524,0,0,1197,1557,178,317,985,221,1421,0
1689872989353,2630,656,0,0,1210,1559,178,319,991,216,1424,0
1689872989853,2635,828,0,0,1210,1563,179,318,995,218,1429,0
1689872990353,2636,462,0,0,1197,1561,178,317,991,206,1423,0
1689872990853,2635,479,0,0,1196,1562,178,318,990,224,1418,0
1689872991353,2633,423,0,0,1198,1568,178,320,990,226,1418,0
1689872991853,2621,442,0,0,1199,1569,177,318,997,217,1428,0
1689872992353,2647,741,0,0,1210,1570,178,338,1002,222,1419,0
1689872992853,2645,765,0,0,1207,1570,179,338,1006,223,1423,0
1689872993353,2624,552,0,0,1192,1572,178,338,1004,212,1426,0
1689872993853,2613,508,0,0,1192,1569,179,337,1005,223,1434,0
1689872994353,2610,560,0,0,1196,1568,178,336,1003,231,1426,0
1689872994853,2641,677,0,0,1207,1572,179,338,1005,223,1426,0
1689872995353,2646,839,0,0,1217,1576,179,337,1009,230,1425,0
1689872995853,2639,567,0,0,1202,1576,180,337,1008,225,1435,0
1689872996353,2633,570,0,0,1202,1575,180,339,1014,223,1427,0
1689872996853,2611,519,0,0,1203,1577,179,337,1014,240,1435,0
1689872997353,2637,620,0,0,1216,1580,179,338,1019,246,1445,0
1689872997853,2643,832,0,0,1219,1575,180,338,1019,246,1438,0
1689872998353,2633,649,0,0,1215,1577,181,339,1023,239,1439,0
1689872998853,2617,508,0,0,1202,1577,181,338,1020,247,1441,0
1689872999353,2624,535,0,0,1204,1577,181,338,1022,245,1446,0
1689872999853,2627,568,0,0,1208,1583,181,338,1024,280,1448,0
1689873000353,2643,791,0,0,1224,1584,182,341,1026,277,1440,0
1689873000853,2643,789,0,0,1219,1583,182,343,1030,296,1441,0
1689873001353,2637,523,0,0,1212,1588,181,341,1028,311,1451,0
1689873001853,2623,510,0,0,1205,1584,180,339,1032,318,1455,0
1689873002353,2627,570,0,0,1205,1580,181,341,1030,308,1446,0
1689873002853,2650,730,0,0,1216,1583,181,340,1038,355,1449,0
1689873003353,2670,836,0,0,1222,1585,180,342,1034,357,1449,0
1689873003853,2651,415,0,0,1209,1593,180,340,1033,361,1454,0
1689873004353,2638,432,0,0,1204,1592,180,342,1035,365,1452,0
1689873004853,2624,481,0,0,1208,1595,182,344,1037,380,1448,0
1689873005353,2640,496,0,0,1209,1595,181,342,1034,350,1455,0
1689873005853,2651,723,0,0,1231,1598,182,349,1041,406,1457,0
1689873006353,2635,501,0,0,1213,1593,182,347,1040,377,1461,0
1689873006853,2615,502,0,0,1210,1592,182,348,1040,364,1456,0
1689873007353,2606,464,0,0,1210,1594,182,348,1039,389,1456,0
1689873007853,2640,399,0,0,1212,1598,182,347,1040,398,1455,0
1689873008353,2653,709,0,0,1230,1605,183,348,1043,357,1460,0
1689873008853,2645,602,0,0,1228,1603,183,350,1041,371,1457,0
