p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,pose
1759,1578,3252,1603,2745,2818,0,1112,1077,647,0,928,1
1861,1510,3303,1686,2641,2758,0,603,1105,511,0,665,1
1830,1498,3309,1753,2751,2746,0,670,1151,507,0,550,1
1845,1815,3302,838,2820,2748,0,503,1189,297,0,420,1
1839,1590,3317,1218,2758,2714,0,552,1150,491,0,700,1
1717,1968,3319,829,2942,2755,0,451,1258,350,0,583,1
1553,2067,3297,862,3016,2711,0,480,1236,311,0,487,1
1732,1578,3357,0,2890,2771,0,388,1046,589,0,601,1
1808,1748,3327,61,2919,2771,0,422,1193,531,0,575,1
1744,1712,3359,543,2845,2670,0,323,1170,544,0,668,1
1715,1659,3355,560,2861,2732,0,350,1098,597,0,823,1
1811,1680,3371,739,2880,2685,0,259,1184,560,0,739,1
1824,1654,3344,773,2833,2704,0,297,1168,537,0,626,1
1855,1760,3379,487,2701,2709,0,192,1112,553,0,791,1
1827,1719,3375,651,2878,2687,0,227,1192,585,0,768,1
2064,2256,3252,0,2514,2434,0,724,1072,936,0,1262,1
1936,2047,3273,734,2339,2822,0,161,912,432,0,836,1
1712,2037,3425,0,2531,2316,0,3114,1164,1074,0,1396,1
1773,2143,3398,0,2557,2240,0,3026,1119,1017,0,1383,1
2354,2869,3273,0,2414,2288,0,277,1017,1078,0,1380,1
1973,2610,3312,0,2431,2204,0,612,1083,1049,0,1338,1
2439,2679,2725,2534,2249,2593,0,559,979,1011,0,1471,1
2446,2966,2896,1549,2354,2464,0,436,1026,1071,0,1418,1
0,0,3181,0,2751,2068,64,404,1219,746,0,1073,1
0,0,3344,1969,2467,2494,0,2025,1093,1025,0,1410,1
0,0,2958,0,2779,2070,0,137,1279,741,0,1285,1
0,0,2146,0,2670,1778,24,170,1251,824,0,1416,1
0,1363,3440,1444,2575,2275,0,154,1274,688,0,1007,1
0,0,3089,0,2490,2008,0,129,1243,798,0,1191,1
0,2527,545,0,2771,1965,0,133,1155,651,0,1159,1
191,2395,3120,0,2429,2193,0,137,960,755,1,1198,1
0,2443,2768,0,2736,2188,0,168,1252,794,1,1216,1
0,2672,2133,0,2685,2111,0,153,1201,719,0,1084,1
416,1835,2999,0,2700,2170,0,166,1139,833,0,1240,1
70,1587,3022,0,2709,2235,0,170,1120,900,0,1230,1
378,1584,3059,0,2752,1993,0,161,1290,799,0,1003,1
209,2128,3023,0,2689,2140,0,164,1195,833,0,1316,1
571,1942,3026,0,2448,2178,0,183,1257,846,0,1268,1
198,1694,3145,0,2662,1837,0,166,1307,839,0,1122,1
412,1899,3103,0,2640,2256,0,162,1299,912,0,1310,1
511,2027,2998,0,2542,2228,0,173,1266,904,0,1282,1
174,2065,2992,0,2546,2260,0,154,1083,921,0,1244,1
413,1988,3114,0,2650,2236,0,144,1157,870,0,1328,1
0,2237,3151,0,2718,2179,0,163,1248,884,0,1327,1
173,2431,3109,0,2688,2229,0,156,1128,869,0,1342,1
6,1765,3197,0,2627,2165,0,151,1240,993,0,1341,1
94,1983,3189,0,2683,2224,0,154,1246,956,0,1329,1
239,2032,3131,0,2661,2185,0,144,1273,1002,0,1370,1
357,2061,3122,0,2627,2173,0,195,1204,995,0,1401,1
203,2077,3145,0,2681,2238,0,188,1282,980,0,1367,1
407,1644,3227,0,2665,2192,0,149,1314,943,0,1383,1
365,1630,3233,0,2727,2260,0,147,1276,967,0,1409,1
406,1881,3173,0,2729,2285,0,157,1302,1037,0,1443,1
501,1881,3187,0,2655,2282,0,150,1281,1053,0,1443,1
449,2002,3152,0,2642,2310,0,163,1250,1069,0,1456,1
496,2018,3094,0,2720,2339,0,160,1303,1068,0,1453,1
535,2135,3154,0,2708,2359,0,165,1315,1051,0,1412,1
821,2202,3182,0,2630,2358,0,165,1286,1089,0,1458,1
695,1965,3136,0,2678,2352,0,164,1270,1101,0,1471,1
560,2073,3237,0,2762,2347,0,166,1314,1042,0,1410,1
505,2127,3346,0,2821,2309,0,154,1232,1040,0,1448,1
449,2117,3276,0,2902,2322,0,146,1339,998,0,1388,1
664,2223,3071,0,2811,2237,0,147,1015,642,0,1039,1
906,1469,3239,0,2792,2336,0,172,1086,415,0,595,1
208,291,2960,0,3008,2737,0,167,1192,322,0,408,1
573,1213,3088,0,3023,2664,0,175,943,438,0,657,1
518,1809,3030,0,2997,2648,0,184,849,444,0,589,1
557,1813,3203,0,2941,2621,0,177,1032,492,0,655,1
1069,2087,3167,0,2950,2577,0,185,1138,465,0,624,1
643,2181,3225,0,3034,2509,0,171,952,403,0,664,1
1055,2161,3201,0,2914,2508,0,182,1073,549,0,671,1
1067,2137,3159,0,2633,2413,0,190,1046,538,0,899,1
954,2188,2970,0,2276,2352,0,201,1010,604,0,820,1
854,2295,3053,0,2288,2283,0,213,1139,501,0,931,1
189,2091,2991,0,2461,2289,0,244,1233,553,0,887,1
737,2144,3007,0,2534,2204,0,243,1275,611,0,1075,1
809,2239,3086,0,2619,2221,0,219,1217,578,0,1061,1
1085,2352,3170,0,2630,2274,0,226,1090,521,0,999,1
887,2471,3155,0,2541,2219,0,234,1187,569,0,1087,1
353,2541,3063,0,2614,2022,0,265,1234,628,0,1126,1
796,2515,3099,0,2683,2099,0,277,1236,580,0,913,1
